,0,1,2,3
Masculinity T5,0.0,0.813,0.187,-0.7427
Masculinity T6,0.093,0.648,0.259,-0.6249
Masculinity T7,0.435,0.565,0.0,0.9062
Masculinity T8,0.162,0.838,0.0,0.4019
Masculinity T9,0.0,1.0,0.0,0.0
Masculinity T10,0.095,0.758,0.147,-0.2753
Masculinity T11,0.0,0.822,0.178,-0.5994
Masculinity T12,0.0,1.0,0.0,0.0
Masculinity T13,0.0,0.867,0.133,-0.3182
Masculinity T14,0.0,1.0,0.0,0.0
Masculinity T15,0.101,0.557,0.341,-0.7096
Masculinity T16,0.086,0.914,0.0,0.1531
Masculinity T17,0.0,1.0,0.0,0.0
Masculinity T18,0.15,0.85,0.0,0.4588
Masculinity T19,0.356,0.585,0.059,0.7972
Masculinity T20,0.0,0.699,0.301,-0.7845
Masculinity T21,0.0,0.87,0.13,-0.4019
Masculinity T22,0.0,1.0,0.0,0.0
Masculinity T23,0.0,0.759,0.241,-0.6597
Masculinity T24,0.314,0.502,0.184,0.4805
Masculinity T25,0.0,0.476,0.524,-0.6597
Masculinity T26,0.0,1.0,0.0,0.0
Masculinity T27,0.407,0.593,0.0,0.8625
Masculinity T28,0.0,0.868,0.132,-0.4404
Masculinity T29,0.209,0.581,0.209,0.0
Masculinity T30,0.0,1.0,0.0,0.0
Masculinity T31,0.0,0.545,0.455,-0.6124
Masculinity T32,0.0,1.0,0.0,0.0
Masculinity T33,0.318,0.53,0.152,0.2075
Masculinity T34,0.241,0.759,0.0,0.3612
Masculinity T35,0.0,1.0,0.0,0.0
Masculinity T36,0.139,0.861,0.0,0.4404
Masculinity T37,0.47,0.53,0.0,0.9081
Masculinity T38,0.156,0.844,0.0,0.5423
Masculinity T39,0.087,0.42,0.493,-0.9118
Masculinity T40,0.245,0.755,0.0,0.7351
Masculinity T41,0.0,1.0,0.0,0.0
Masculinity T42,0.234,0.766,0.0,0.7506
Masculinity T43,0.113,0.742,0.145,-0.2023
Masculinity T44,0.0,1.0,0.0,0.0
Masculinity T45,0.0,0.641,0.359,-0.4215
Masculinity T46,0.101,0.837,0.062,0.2263
Masculinity T47,0.42,0.58,0.0,0.4404
Masculinity T48,0.173,0.708,0.119,0.4939
Masculinity T49,0.0,1.0,0.0,0.0
Masculinity T50,0.138,0.628,0.234,-0.3182
Masculinity T51,0.0,1.0,0.0,0.0
Masculinity T52,0.0,0.708,0.292,-0.6557
Masculinity T53,0.0,1.0,0.0,0.0
Masculinity T54,0.0,1.0,0.0,0.0
Masculinity T55,0.201,0.697,0.102,0.2815
Masculinity T56,0.548,0.452,0.0,0.9022
Masculinity T57,0.0,1.0,0.0,0.0
Masculinity T58,0.112,0.609,0.279,-0.5109
Masculinity T59,0.318,0.682,0.0,0.6794
Masculinity T60,0.151,0.688,0.161,-0.0516
Masculinity T61,0.122,0.878,0.0,0.3612
Masculinity T62,0.0,0.303,0.697,-0.3182
Masculinity T63,0.0,0.833,0.167,-0.3412
Masculinity T64,0.17,0.83,0.0,0.5413
Masculinity T65,0.127,0.873,0.0,0.4404
Masculinity T66,0.0,1.0,0.0,0.0
Masculinity T67,0.086,0.639,0.275,-0.5927
Masculinity T68,0.124,0.78,0.096,0.1511
Masculinity T69,0.398,0.417,0.186,0.6808
Masculinity T70,0.0,1.0,0.0,0.0
Masculinity T71,0.0,1.0,0.0,0.0
Masculinity T72,0.117,0.883,0.0,0.4173
Masculinity T73,0.153,0.847,0.0,0.4404
Masculinity T74,0.0,1.0,0.0,0.0
Masculinity T75,0.201,0.58,0.219,-0.1027
Masculinity T76,0.0,1.0,0.0,0.0
Masculinity T77,0.0,0.891,0.109,-0.296
Masculinity T78,0.0,1.0,0.0,0.0
Masculinity T79,0.133,0.867,0.0,0.3818
Masculinity T80,0.245,0.623,0.132,0.4767
Masculinity T81,0.407,0.593,0.0,0.8625
Masculinity T82,0.0,1.0,0.0,0.0
