,trial,Pos.,Neu.,Neg.,Summary
254,Masculinity T7,0.344,0.656,0.0,0.7506
255,Masculinity T8,0.0,1.0,0.0,0.0
256,Masculinity T9,0.221,0.531,0.248,-0.0772
257,Masculinity T10,0.0,1.0,0.0,0.0
258,Masculinity T11,0.0,0.813,0.187,-0.7427
259,Masculinity T12,0.093,0.648,0.259,-0.6249
260,Masculinity T13,0.435,0.565,0.0,0.9062
261,Masculinity T14,0.162,0.838,0.0,0.4019
262,Masculinity T15,0.0,1.0,0.0,0.0
263,Masculinity T16,0.095,0.758,0.147,-0.2753
264,Masculinity T17,0.0,0.822,0.178,-0.5994
265,Masculinity T18,0.0,1.0,0.0,0.0
266,Masculinity T19,0.0,0.867,0.133,-0.3182
267,Masculinity T20,0.0,1.0,0.0,0.0
268,Masculinity T21,0.101,0.557,0.341,-0.7096
269,Masculinity T22,0.086,0.914,0.0,0.1531
270,Masculinity T23,0.0,1.0,0.0,0.0
271,Masculinity T24,0.15,0.85,0.0,0.4588
272,Masculinity T25,0.356,0.585,0.059,0.7972
273,Masculinity T26,0.0,0.699,0.301,-0.7845
274,Masculinity T27,0.0,0.87,0.13,-0.4019
275,Masculinity T28,0.0,1.0,0.0,0.0
276,Masculinity T29,0.0,0.759,0.241,-0.6597
277,Masculinity T30,0.314,0.502,0.184,0.4805
278,Masculinity T31,0.0,0.476,0.524,-0.6597
279,Masculinity T32,0.0,1.0,0.0,0.0
280,Masculinity T33,0.407,0.593,0.0,0.8625
281,Masculinity T34,0.0,0.868,0.132,-0.4404
282,Masculinity T35,0.209,0.581,0.209,0.0
283,Masculinity T36,0.0,1.0,0.0,0.0
284,Masculinity T37,0.0,0.545,0.455,-0.6124
285,Masculinity T38,0.0,1.0,0.0,0.0
286,Masculinity T39,0.318,0.53,0.152,0.2075
287,Masculinity T40,0.241,0.759,0.0,0.3612
288,Masculinity T41,0.0,1.0,0.0,0.0
289,Masculinity T42,0.139,0.861,0.0,0.4404
290,Masculinity T43,0.47,0.53,0.0,0.9081
291,Masculinity T44,0.156,0.844,0.0,0.5423
292,Masculinity T45,0.087,0.42,0.493,-0.9118
293,Masculinity T46,0.245,0.755,0.0,0.7351
294,Masculinity T47,0.0,1.0,0.0,0.0
295,Masculinity T48,0.234,0.766,0.0,0.7506
296,Masculinity T49,0.113,0.742,0.145,-0.2023
297,Masculinity T50,0.0,1.0,0.0,0.0
298,Masculinity T51,0.0,0.641,0.359,-0.4215
299,Masculinity T52,0.101,0.837,0.062,0.2263
300,Masculinity T53,0.42,0.58,0.0,0.4404
301,Masculinity T54,0.173,0.708,0.119,0.4939
302,Masculinity T55,0.0,1.0,0.0,0.0
303,Masculinity T56,0.138,0.628,0.234,-0.3182
304,Masculinity T57,0.0,1.0,0.0,0.0
305,Masculinity T58,0.0,0.708,0.292,-0.6557
306,Masculinity T59,0.0,1.0,0.0,0.0
307,Masculinity T60,0.0,1.0,0.0,0.0
308,Masculinity T61,0.201,0.697,0.102,0.2815
309,Masculinity T62,0.548,0.452,0.0,0.9022
310,Masculinity T63,0.0,1.0,0.0,0.0
311,Masculinity T64,0.112,0.609,0.279,-0.5109
312,Masculinity T65,0.318,0.682,0.0,0.6794
313,Masculinity T66,0.151,0.688,0.161,-0.0516
314,Masculinity T67,0.122,0.878,0.0,0.3612
315,Masculinity T68,0.0,0.303,0.697,-0.3182
316,Masculinity T69,0.0,0.833,0.167,-0.3412
317,Masculinity T70,0.17,0.83,0.0,0.5413
318,Masculinity T71,0.127,0.873,0.0,0.4404
319,Masculinity T72,0.0,1.0,0.0,0.0
320,Masculinity T73,0.086,0.639,0.275,-0.5927
321,Masculinity T74,0.124,0.78,0.096,0.1511
322,Masculinity T75,0.398,0.417,0.186,0.6808
323,Masculinity T76,0.0,1.0,0.0,0.0
324,Masculinity T77,0.0,1.0,0.0,0.0
325,Masculinity T78,0.117,0.883,0.0,0.4173
326,Masculinity T79,0.153,0.847,0.0,0.4404
327,Masculinity T80,0.0,1.0,0.0,0.0
328,Masculinity T81,0.201,0.58,0.219,-0.1027
329,Masculinity T82,0.0,1.0,0.0,0.0
330,Masculinity T83,0.0,0.891,0.109,-0.296
331,Masculinity T84,0.0,1.0,0.0,0.0
332,Masculinity T85,0.133,0.867,0.0,0.3818
333,Masculinity T86,0.245,0.623,0.132,0.4767
334,Masculinity T87,0.407,0.593,0.0,0.8625
335,Masculinity T88,0.0,1.0,0.0,0.0
336,Masculinity T89,0.0,1.0,0.0,0.0
337,Masculinity T90,0.189,0.811,0.0,0.6369
338,Masculinity T91,0.0,1.0,0.0,0.0
339,Masculinity T92,0.0,1.0,0.0,0.0
340,Masculinity T93,0.0,0.842,0.158,-0.4574
341,Masculinity T94,0.153,0.688,0.159,-0.0258
342,Masculinity T95,0.0,1.0,0.0,0.0
343,Masculinity T96,0.198,0.802,0.0,0.4927
344,Masculinity T97,0.0,1.0,0.0,0.0
345,Masculinity T98,0.0,1.0,0.0,0.0
346,Masculinity T99,0.09,0.762,0.148,-0.3182
347,Masculinity T100,0.0,0.727,0.273,-0.4588
348,Masculinity T101,0.0,1.0,0.0,0.0
349,Masculinity T102,0.195,0.747,0.058,0.5106
350,Masculinity T103,0.389,0.611,0.0,0.836
351,Masculinity T104,0.112,0.762,0.126,-0.0772
352,Masculinity T105,0.0,1.0,0.0,0.0
353,Masculinity T106,0.13,0.725,0.145,0.1779
354,Masculinity T107,0.0,0.912,0.088,-0.1406
355,Masculinity T108,0.0,0.235,0.765,-0.7579
356,Masculinity T109,0.26,0.617,0.123,0.4767
357,Masculinity T110,0.0,0.805,0.195,-0.5267
358,Masculinity T111,0.0,1.0,0.0,0.0
359,Masculinity T112,0.0,0.558,0.442,-0.9169
360,Masculinity T113,0.0,0.73,0.27,-0.6486
361,Masculinity T114,0.112,0.461,0.427,-0.8616
362,Masculinity T115,0.0,1.0,0.0,0.0
363,Masculinity T116,0.366,0.466,0.168,0.7586
364,Masculinity T117,0.0,1.0,0.0,0.0
365,Masculinity T118,0.0,0.757,0.243,-0.7269
366,Masculinity T119,0.313,0.525,0.162,0.3486
367,Masculinity T120,0.198,0.802,0.0,0.5719
368,Masculinity T121,0.084,0.491,0.425,-0.9349
369,Masculinity T122,0.0,1.0,0.0,0.0
370,Masculinity T123,0.171,0.708,0.121,0.296
371,Masculinity T124,0.0,0.255,0.745,-0.9136
372,Masculinity T125,0.1,0.9,0.0,0.2732
373,Masculinity T126,0.0,0.674,0.326,-0.4404
374,Masculinity T127,0.0,0.759,0.241,-0.3612
375,Masculinity T128,0.0,1.0,0.0,0.0
376,Masculinity T129,0.098,0.592,0.311,-0.5574
377,Masculinity T130,0.287,0.625,0.088,0.6997
378,Masculinity T131,0.07,0.791,0.14,-0.3612
379,Masculinity T132,0.2,0.8,0.0,0.3612
380,Masculinity T133,0.073,0.927,0.0,0.0258
