,0,1,2,3
Feminism T28,0.0,1.0,0.0,0.0
Feminism T29,0.0,1.0,0.0,0.0
Feminism T30,0.309,0.612,0.079,0.7501
Feminism T31,0.156,0.751,0.092,0.2732
Feminism T32,0.356,0.585,0.059,0.7972
Feminism T33,0.0,1.0,0.0,0.0
Feminism T34,0.0,1.0,0.0,0.0
Feminism T35,0.0,1.0,0.0,0.0
Feminism T36,0.0,1.0,0.0,0.0
Feminism T37,0.267,0.733,0.0,0.6249
Feminism T38,0.0,1.0,0.0,0.0
Feminism T39,0.0,1.0,0.0,0.0
Feminism T40,0.111,0.796,0.093,0.1027
Feminism T41,0.0,1.0,0.0,0.0
Feminism T42,0.0,0.581,0.419,-0.5574
Feminism T43,0.0,0.888,0.112,-0.3412
Feminism T44,0.0,1.0,0.0,0.0
Feminism T45,0.0,1.0,0.0,0.0
Feminism T46,0.0,0.62,0.38,-0.8105
Feminism T47,0.189,0.697,0.114,0.3612
Feminism T48,0.0,1.0,0.0,0.0
Feminism T49,0.261,0.739,0.0,0.6486
Feminism T50,0.0,1.0,0.0,0.0
Feminism T51,0.073,0.833,0.094,-0.128
Feminism T52,0.0,0.732,0.268,-0.7378
Feminism T53,0.053,0.628,0.319,-0.7579
Feminism T54,0.145,0.552,0.303,-0.3182
Feminism T55,0.192,0.808,0.0,0.4754
Feminism T56,0.0,1.0,0.0,0.0
Feminism T57,0.289,0.711,0.0,0.7269
Feminism T58,0.289,0.711,0.0,0.7845
Feminism T59,0.0,1.0,0.0,0.0
Feminism T60,0.177,0.645,0.177,0.0
Feminism T61,0.0,0.588,0.412,-0.8782
Feminism T62,0.0,1.0,0.0,0.0
Feminism T63,0.0,0.891,0.109,-0.296
Feminism T64,0.0,0.504,0.496,-0.7102
Feminism T65,0.0,1.0,0.0,0.0
Feminism T66,0.117,0.727,0.155,-0.1862
Feminism T67,0.157,0.63,0.213,-0.0577
Feminism T68,0.0,1.0,0.0,0.0
Feminism T69,0.0,1.0,0.0,0.0
Feminism T70,0.0,1.0,0.0,0.0
Feminism T71,0.0,0.86,0.14,-0.3818
Feminism T72,0.0,1.0,0.0,0.0
Feminism T73,0.0,1.0,0.0,0.0
Feminism T74,0.0,1.0,0.0,0.0
Feminism T75,0.0,1.0,0.0,0.0
Feminism T76,0.0,1.0,0.0,0.0
Feminism T77,0.0,0.744,0.256,-0.4767
Feminism T78,0.0,1.0,0.0,0.0
Feminism T79,0.239,0.485,0.276,-0.2516
Feminism T80,0.0,1.0,0.0,0.0
Feminism T81,0.259,0.741,0.0,0.4215
Feminism T82,0.317,0.683,0.0,0.836
Feminism T83,0.099,0.633,0.269,-0.6478
Feminism T84,0.0,0.914,0.086,-0.1531
Feminism T85,0.183,0.701,0.116,0.3291
Feminism T86,0.0,1.0,0.0,0.0
Feminism T87,0.0,1.0,0.0,0.0
Feminism T88,0.122,0.878,0.0,0.2716
Feminism T89,0.159,0.637,0.204,-0.1779
Feminism T90,0.128,0.872,0.0,0.2975
Feminism T91,0.191,0.809,0.0,0.5106
Feminism T92,0.0,0.854,0.146,-0.4404
Feminism T93,0.0,1.0,0.0,0.0
Feminism T94,0.0,0.821,0.179,-0.5719
Feminism T95,0.0,1.0,0.0,0.0
Feminism T96,0.339,0.661,0.0,0.802
Feminism T97,0.0,0.69,0.31,-0.6597
Feminism T98,0.0,1.0,0.0,0.0
Feminism T99,0.313,0.687,0.0,0.6249
Feminism T100,0.0,1.0,0.0,0.0
Feminism T101,0.0,1.0,0.0,0.0
Feminism T102,0.488,0.512,0.0,0.8868
Feminism T103,0.0,1.0,0.0,0.0
Feminism T104,0.0,1.0,0.0,0.0
Feminism T105,0.381,0.542,0.077,0.8283
Feminism T106,0.0,1.0,0.0,0.0
Feminism T107,0.218,0.647,0.135,0.34
Feminism T108,0.0,1.0,0.0,0.0
Feminism T109,0.0,1.0,0.0,0.0
Feminism T110,0.298,0.38,0.322,-0.3384
Feminism T111,0.0,1.0,0.0,0.0
Feminism T112,0.0,1.0,0.0,0.0
Feminism T113,0.153,0.711,0.135,0.1105
Feminism T114,0.0,0.822,0.178,-0.353
Feminism T115,0.21,0.79,0.0,0.6115
Feminism T116,0.0,1.0,0.0,0.0
Feminism T117,0.0,1.0,0.0,0.0
Feminism T118,0.0,0.885,0.115,-0.296
Feminism T119,0.0,1.0,0.0,0.0
Feminism T120,0.0,0.935,0.065,-0.1531
Feminism T121,0.0,1.0,0.0,0.0
Feminism T122,0.0,0.851,0.149,-0.2023
Feminism T123,0.0,1.0,0.0,0.0
Feminism T124,0.0,0.811,0.189,-0.6369
Feminism T125,0.0,1.0,0.0,0.0
Feminism T126,0.0,1.0,0.0,0.0
Feminism T127,0.0,1.0,0.0,0.0
Feminism T128,0.0,1.0,0.0,0.0
Feminism T129,0.0,1.0,0.0,0.0
Feminism T130,0.099,0.901,0.0,0.3182
Feminism T131,0.103,0.897,0.0,0.3182
Feminism T132,0.296,0.583,0.121,0.5994
Feminism T133,0.3,0.5,0.2,0.2023
Feminism T134,0.231,0.769,0.0,0.6369
Feminism T135,0.0,0.558,0.442,-0.837
Feminism T136,0.213,0.787,0.0,0.4019
Feminism T137,0.0,0.692,0.308,-0.6662
Feminism T138,0.0,1.0,0.0,0.0
Feminism T139,0.365,0.635,0.0,0.5574
Feminism T140,0.0,1.0,0.0,0.0
Feminism T141,0.351,0.649,0.0,0.4019
Feminism T142,0.0,1.0,0.0,0.0
Feminism T143,0.0,1.0,0.0,0.0
Feminism T144,0.0,0.577,0.423,-0.9001
Feminism T145,0.179,0.539,0.283,-0.323
Feminism T146,0.0,0.741,0.259,-0.4215
Feminism T147,0.183,0.5,0.317,-0.1043
Feminism T148,0.0,1.0,0.0,0.0
Feminism T149,0.242,0.758,0.0,0.4939
Feminism T150,0.0,0.874,0.126,-0.3182
Feminism T151,0.0,1.0,0.0,0.0
Feminism T152,0.205,0.725,0.069,0.3071
Feminism T153,0.0,1.0,0.0,0.0
Feminism T154,0.0,0.669,0.331,-0.836
Feminism T155,0.0,1.0,0.0,0.0
Feminism T156,0.455,0.545,0.0,0.875
Feminism T157,0.213,0.787,0.0,0.5574
Feminism T158,0.0,1.0,0.0,0.0
Feminism T159,0.0,1.0,0.0,0.0
Feminism T160,0.0,0.872,0.128,-0.296
Feminism T161,0.087,0.913,0.0,0.25
Feminism T162,0.159,0.841,0.0,0.1779
