trial,Pos.,Neu.,Neg.,Summary
Melinda Gates T122,0.0,0.811,0.189,-0.2732
Melinda Gates T123,0.0,1.0,0.0,0.0
Melinda Gates T124,0.0,1.0,0.0,0.0
Melinda Gates T125,0.0,0.811,0.189,-0.2732
Melinda Gates T126,0.0,0.885,0.115,-0.296
Melinda Gates T127,0.0,1.0,0.0,0.0
Melinda Gates T128,0.0,1.0,0.0,0.0
Melinda Gates T129,0.0,1.0,0.0,0.0
Melinda Gates T130,0.416,0.584,0.0,0.7506
Melinda Gates T131,0.188,0.812,0.0,0.5945
Melinda Gates T132,0.0,0.763,0.237,-0.4767
Melinda Gates T133,0.309,0.691,0.0,0.6671
Melinda Gates T134,0.0,0.878,0.122,-0.3612
Melinda Gates T135,0.0,1.0,0.0,0.0
Melinda Gates T136,0.0,0.864,0.136,-0.296
Melinda Gates T137,0.0,0.0,0.0,0.0
Melinda Gates T138,0.152,0.707,0.141,0.0516
Melinda Gates T139,0.0,0.0,0.0,0.0
Melinda Gates T140,0.0,1.0,0.0,0.0
Melinda Gates T141,0.0,0.6,0.4,-0.6868
Melinda Gates T142,0.0,1.0,0.0,0.0
Melinda Gates T143,0.0,1.0,0.0,0.0
Melinda Gates T144,0.0,1.0,0.0,0.0
Melinda Gates T145,0.0,1.0,0.0,0.0
Melinda Gates T146,0.0,0.776,0.224,-0.6369
Melinda Gates T147,0.0,0.875,0.125,-0.25
Melinda Gates T148,0.108,0.606,0.286,-0.6249
Melinda Gates T149,0.0,0.872,0.128,-0.296
Melinda Gates T0,0.0,0.718,0.282,-0.6705
Diana Trujillo T1,0.0,1.0,0.0,0.0
Diana Trujillo T2,0.0,1.0,0.0,0.0
Diana Trujillo T3,0.0,0.855,0.145,-0.296
Diana Trujillo T4,0.0,1.0,0.0,0.0
Diana Trujillo T5,0.0,1.0,0.0,0.0
Diana Trujillo T6,0.194,0.806,0.0,0.34
Diana Trujillo T7,0.0,1.0,0.0,0.0
Diana Trujillo T8,0.118,0.882,0.0,0.34
Diana Trujillo T9,0.0,1.0,0.0,0.0
Diana Trujillo T10,0.0,1.0,0.0,0.0
Diana Trujillo T11,0.0,1.0,0.0,0.0
Diana Trujillo T12,0.0,1.0,0.0,0.0
Diana Trujillo T13,0.0,1.0,0.0,0.0
Diana Trujillo T14,0.0,1.0,0.0,0.0
Diana Trujillo T15,0.0,1.0,0.0,0.0
Diana Trujillo T16,0.0,1.0,0.0,0.0
Diana Trujillo T17,0.0,1.0,0.0,0.0
Diana Trujillo T18,0.0,0.885,0.115,-0.296
Diana Trujillo T19,0.0,1.0,0.0,0.0
Diana Trujillo T20,0.0,1.0,0.0,0.0
Diana Trujillo T21,0.0,1.0,0.0,0.0
Diana Trujillo T22,0.0,1.0,0.0,0.0
Diana Trujillo T23,0.0,0.891,0.109,-0.296
Diana Trujillo T24,0.0,0.82,0.18,-0.296
Diana Trujillo T25,0.0,1.0,0.0,0.0
Diana Trujillo T26,0.0,1.0,0.0,0.0
