trial,Pos.,Neu.,Neg.,Summary
Bill Gates T71,0.0,1.0,0.0,0.0
Bill Gates T72,0.0,0.675,0.325,-0.8271
Bill Gates T73,0.259,0.741,0.0,0.6369
Bill Gates T74,0.0,1.0,0.0,0.0
Bill Gates T75,0.0,1.0,0.0,0.0
Bill Gates T76,0.0,0.837,0.163,-0.5106
Bill Gates T77,0.0,0.905,0.095,-0.296
Bill Gates T78,0.0,1.0,0.0,0.0
Bill Gates T79,0.0,1.0,0.0,0.0
Bill Gates T80,0.0,1.0,0.0,0.0
Bill Gates T81,0.0,1.0,0.0,0.0
Bill Gates T82,0.205,0.795,0.0,0.5994
Bill Gates T83,0.0,1.0,0.0,0.0
Bill Gates T84,0.0,1.0,0.0,0.0
Bill Gates T85,0.0,1.0,0.0,0.0
Bill Gates T86,0.0,0.707,0.293,-0.4404
Bill Gates T87,0.172,0.828,0.0,0.4005
Bill Gates T88,0.0,1.0,0.0,0.0
Bill Gates T89,0.0,1.0,0.0,0.0
Bill Gates T90,0.0,0.667,0.333,-0.6697
Bill Gates T91,0.0,1.0,0.0,0.0
Bill Gates T92,0.0,0.931,0.069,-0.1027
Bill Gates T93,0.0,0.872,0.128,-0.3612
Bill Gates T94,0.512,0.488,0.0,0.2732
Bill Gates T95,0.0,1.0,0.0,0.0
Bill Gates T96,0.0,1.0,0.0,0.0
Bill Gates T97,0.0,1.0,0.0,0.0
Bill Gates T98,0.0,0.764,0.236,-0.5719
Bill Gates T99,0.167,0.833,0.0,0.4215
Bill Gates T100,0.125,0.718,0.157,-0.1832
Bill Gates T101,0.0,1.0,0.0,0.0
Bill Gates T102,0.314,0.686,0.0,0.4939
Bill Gates T103,0.0,1.0,0.0,0.0
Bill Gates T104,0.0,1.0,0.0,0.0
Bill Gates T105,0.0,0.728,0.272,-0.6249
Bill Gates T106,0.107,0.816,0.077,0.1225
Bill Gates T107,0.185,0.815,0.0,0.3612
Bill Gates T108,0.0,0.891,0.109,-0.296
Bill Gates T109,0.0,0.892,0.108,-0.3182
Bill Gates T110,0.0,0.816,0.184,-0.5574
Bill Gates T111,0.0,1.0,0.0,0.0
Bill Gates T112,0.0,0.781,0.219,-0.1027
Bill Gates T113,0.0,1.0,0.0,0.0
Bill Gates T114,0.0,1.0,0.0,0.0
Bill Gates T115,0.0,1.0,0.0,0.0
Bill Gates T116,0.115,0.617,0.267,-0.5719
Bill Gates T117,0.0,1.0,0.0,0.0
Bill Gates T118,0.0,1.0,0.0,0.0
Bill Gates T119,0.0,1.0,0.0,0.0
Bill Gates T120,0.059,0.86,0.081,-0.128
Bill Gates T121,0.0,0.878,0.122,-0.3875
Bill Gates T122,0.0,0.837,0.163,-0.5984
Bill Gates T123,0.0,1.0,0.0,0.0
Bill Gates T124,0.0,1.0,0.0,0.0
Bill Gates T125,0.155,0.683,0.161,-0.0258
Bill Gates T126,0.0,0.905,0.095,-0.2263
Bill Gates T127,0.139,0.861,0.0,0.5267
Bill Gates T128,0.091,0.909,0.0,0.2263
Bill Gates T129,0.0,1.0,0.0,0.0
Bill Gates T130,0.0,0.918,0.082,-0.1779
Adam Steltzner T1,0.0,1.0,0.0,0.0
Adam Steltzner T2,0.188,0.812,0.0,0.5719
Adam Steltzner T3,0.0,0.87,0.13,-0.34
Michio Kaku T1,0.0,1.0,0.0,0.0
Michio Kaku T2,0.404,0.596,0.0,0.7772
Michio Kaku T3,0.0,0.672,0.328,-0.4466
Michio Kaku T4,0.149,0.851,0.0,0.2732
Michio Kaku T5,0.0,1.0,0.0,0.0
Michio Kaku T6,0.0,0.803,0.197,-0.4019
Michio Kaku T7,0.0,1.0,0.0,0.0
Michio Kaku T8,0.0,1.0,0.0,0.0
Michio Kaku T9,0.1,0.9,0.0,0.2732
Michio Kaku T10,0.0,1.0,0.0,0.0
Michio Kaku T11,0.0,1.0,0.0,0.0
Michio Kaku T12,0.0,1.0,0.0,0.0
Michio Kaku T13,0.0,1.0,0.0,0.0
Michio Kaku T14,0.0,1.0,0.0,0.0
Michio Kaku T15,0.0,1.0,0.0,0.0
Michio Kaku T16,0.239,0.761,0.0,0.5719
Michio Kaku T17,0.0,1.0,0.0,0.0
Michio Kaku T18,0.0,1.0,0.0,0.0
Michio Kaku T19,0.13,0.669,0.201,-0.1779
Michio Kaku T20,0.0,0.769,0.231,-0.4019
Michio Kaku T21,0.0,1.0,0.0,0.0
Michio Kaku T22,0.294,0.706,0.0,0.3612
Michio Kaku T23,0.0,1.0,0.0,0.0
Michio Kaku T24,0.0,1.0,0.0,0.0
Michio Kaku T25,0.0,1.0,0.0,0.0
Michio Kaku T26,0.0,1.0,0.0,0.0
Michio Kaku T27,0.0,0.87,0.13,-0.4019
Michio Kaku T28,0.0,0.787,0.213,-0.4019
Michio Kaku T29,0.492,0.508,0.0,0.6988
Michio Kaku T30,0.452,0.548,0.0,0.765
Michio Kaku T31,0.0,1.0,0.0,0.0
Michio Kaku T32,0.0,0.905,0.095,-0.296
Michio Kaku T33,0.0,0.87,0.13,-0.4019
Michio Kaku T34,0.0,1.0,0.0,0.0
Michio Kaku T35,0.0,1.0,0.0,0.0
Michio Kaku T36,0.0,0.774,0.226,-0.5423
Michio Kaku T37,0.0,1.0,0.0,0.0
Michio Kaku T38,0.115,0.885,0.0,0.0772
Michio Kaku T39,0.0,1.0,0.0,0.0
Michio Kaku T40,0.0,1.0,0.0,0.0
Michio Kaku T41,0.0,1.0,0.0,0.0
Michio Kaku T42,0.1,0.9,0.0,0.25
Michio Kaku T43,0.0,0.915,0.085,-0.1935
Michio Kaku T44,0.0,1.0,0.0,0.0
Michio Kaku T45,0.0,1.0,0.0,0.0
Michio Kaku T46,0.0,1.0,0.0,0.0
Michio Kaku T47,0.0,1.0,0.0,0.0
Michio Kaku T48,0.0,1.0,0.0,0.0
Michio Kaku T49,0.0,1.0,0.0,0.0
Michio Kaku T50,0.263,0.737,0.0,0.6124
Michio Kaku T51,0.122,0.878,0.0,0.3612
Michio Kaku T52,0.0,0.828,0.172,-0.4019
Michio Kaku T53,0.0,1.0,0.0,0.0
Michio Kaku T54,0.208,0.792,0.0,0.2732
Michio Kaku T55,0.0,0.833,0.167,-0.296
Michio Kaku T56,0.0,1.0,0.0,0.0
Michio Kaku T57,0.176,0.824,0.0,0.4939
Michio Kaku T58,0.0,1.0,0.0,0.0
Michio Kaku T59,0.084,0.813,0.104,-0.1154
Michio Kaku T60,0.0,0.0,0.0,0.0
Michio Kaku T61,0.219,0.781,0.0,0.6369
Michio Kaku T62,0.074,0.926,0.0,0.1326
Michio Kaku T63,0.0,0.744,0.256,-0.4767
Michio Kaku T64,0.0,1.0,0.0,0.0
Michio Kaku T65,0.227,0.773,0.0,0.4767
Michio Kaku T66,0.0,0.758,0.242,-0.1531
Michio Kaku T67,0.0,1.0,0.0,0.0
Michio Kaku T68,0.307,0.693,0.0,0.7964
Michio Kaku T69,0.126,0.874,0.0,0.3818
Michio Kaku T70,0.0,0.769,0.231,-0.4019
Michio Kaku T71,0.0,0.863,0.137,-0.4019
Michio Kaku T72,0.0,1.0,0.0,0.0
Michio Kaku T73,0.0,1.0,0.0,0.0
Michio Kaku T74,0.0,1.0,0.0,0.0
Michio Kaku T75,0.0,0.787,0.213,-0.4019
Michio Kaku T76,0.122,0.878,0.0,0.3612
